Position,Bill,LastName,FirstName,Role,Organization,City,State
For,SB 2,Bao,Lily,Realtor,,,
For,SB 2,Betancourt,Tammy,Executive,Houston Boma,,
For,SB 2,Boyd,Ronald,Retired,Self,,
For,SB 2,Cahn,Adam,Tony   Property Tax Consultant,"Cahnman's Musings) Comparin, Tony   Property Tax Consultant  (TAPTP",Irving,TX
For,SB 2,Cordina,Joe,Patrick   Student from UT Dallas,"Residents of the City of Parker) Doyle, Patrick   Student from UT Dallas  (Collin County",Allen,TX
For,SB 2,Ellington,Brittini,Les   Director of Policy,"Cousins Properties) Findeisen, Les   Director of Policy  (Texas Trucking Association",Austin,TX
For,SB 2,Fousek,Georgina,retired,Self,Fairview,TX
For,SB 2,Fousek,"Jr, Oldrich",Retired,Self,Fairview,TX
For,SB 2,Frueh,Paul,Lillie,"Self) Gilligan, Lillie    (Self",Austin,TX
For,SB 2,Gonzalez,Daniel,Consultant,Texas Association of Realtors,Austin,TX
For,SB 2,Gostomski,John D.,Matt,"Self) Grabner, Matt    (Ryan, LLC",Austin,TX
For,SB 2,Greener,Jerome,Tracy   retired,"Americans for Prosperity - TX) Hancock, Tracy   retired  (Collin County taxpayers & myself",Allen,TX
For,SB 2,Harris,James,Taxpayer,Self,Dallas,TX
For,SB 2,Hastings,Paul,Imagiration,Self,Lago Vista,TX
For,SB 2,Hensley,Elisabeth,Ravi   Engineer,"Texas Bema) Jain, Ravi   Engineer  (Self",Plano,TX
For,SB 2,Jaquess,Charles Ryan,Advisor,Self,Lucas,TX
For,SB 2,Johnson,Karisa,Emma D.   Retired Lab Owner,"Texas BOMA) Jones, Emma D.   Retired Lab Owner  (Collin County- myself",Anna,TX
For,SB 2,Jones,Max,Director,Greater Houston Partnership,Houston,TX
For,SB 2,Kelberlau,William,Kevin J.   Business Executive,"Self) Koch, Kevin J.   Business Executive  (McLane Company, Inc.",Temple,TX
For,SB 2,Lavender,Richard Owen,Retired,Self,Parker,TX
For,SB 2,Lynch,Terry,Dalton   Solution Architect,"Self) , Parker Lytle, Dalton   Solution Architect  (Self; Self",Parker Lytle,"Dalton   Solution Architect  (Self; Self), Murphy, TX"
For,SB 2,McCord,Tim,engineer,Self,Wylie,TX
For,SB 2,McCouley,Ronda,Trainer,Self,,
For,SB 2,McCoy,Lynn,Denise   house wife,"Family/ Community), Plano Midgley, Denise   house wife  (myself, family, & family",Plano Midgley,"Denise   house wife  (myself, family, & family), Plano, TX"
For,SB 2,Neeley,Josiah,Director,R Street Institute,Austin,TX
For,SB 2,Parsons,Brad,Payers,Self; Property Tax Payers (self),Austin,TX
For,SB 2,Patel,Rahul B.,Attorney,CFAR,,
For,SB 2,Pennington,Paul,Consultant,"PE Pennington & co, Inc.",,
For,SB 2,Popr,James,Attorney,,,
For,SB 2,Putnam,Terry,Retired,,,
For,SB 2,Putnam,Wilma Joy,Activist,Texas,,
For,SB 2,Ray,Curtis,UNT,Self,,
For,SB 2,Redman,Dianne,Thomas   Network Architect,"Self) Redman, Thomas   Network Architect  (Self",Richardson,TX
For,SB 2,Retzloff,Scott,,Self,,
For,SB 2,Rhodes,Fran,Peggy   Retired,"Self; Myself), Ft. Worth Rusterholtz, Peggy   Retired  (Self",Ft. Worth Rusterholtz,"Peggy   Retired  (Self) , Lucas, TX"
For,SB 2,Scarborough,Jim,Daphne   metal fabricator,"Self; my self) Scarbrough, Daphne   metal fabricator  (small business owner",Houston,TX
For,SB 2,Sheetz,Samuel,Director,Americans for Prosperity,Austin,TX
For,SB 2,Shields,Chris,Affairs,Tenaska,Austin,TX
For,SB 2,Sneer,Jim,Relations,Texas Retailers Association,Austin,TX
For,SB 2,Spraggins,Betty,Council,Self,,
For,SB 2,Spraggins,Joseph Wayne,Correspondent,Self,,
For,SB 2,Swift,Sheryl,Deputy,Galveston Tax Office,,
For,SB 2,Tucker,Karin L.,&,Self,,
For,SB 2,,,,Webb County Appraisal District,,
For,SB 2,White,Jayne E,Caregiver,,,
For,SB 2,Wilson,David M.,Greg J   Electrical Engineer,"Self) Wright, Greg J   Electrical Engineer  (Self",Allen,TX
Against,SB 2,Aaron,Merle,Jay   City Manager - City of Bullard,"City of Humble) Abercrombie, Jay   City Manager - City of Bullard  (City of Bullard",Bullard,TX
Against,SB 2,Aguilar,Frances,Secretary,City of Manor,Manor,TX
Against,SB 2,Akers,Monte,Carlos   Fire Chief City of Kirby,"City of Balch Springs), Austin Alfaro, Carlos   Fire Chief City of Kirby  (City of Kirby",Austin Alfaro,"Carlos   Fire Chief City of Kirby  (City of Kirby), San Antonio, TX"
Against,SB 2,Alford,Bob,Co.,Citizens of Johnson Co.,Alvarado,TX
Against,SB 2,Alfred,Everette D.,,North & East TX County Judge & Commissioner Ass.,,
Against,SB 2,Allgood,Katie,Soya   Commissioner Harris County,"City of Hewitt) Anderson, Soya   Commissioner Harris County  (ESD#2",Houston,TX
Against,SB 2,Armstrong,Josh,Finance,City of Justin,Justin,TX
Against,SB 2,Bailey,Dennis,Joe   Mayor - City of Lakeway,"Self) Bain, Joe   Mayor - City of Lakeway  (City of Lakeway",Lakeway,TX
Against,SB 2,Baker,Al,Police,"City of Southside Place, Texas",Southside Place,TX
Against,SB 2,,,,City of Joshua,Joshua,TX
Against,SB 2,Bark,Jerry,Recreation,,,
Against,SB 2,,,,Frio County,Pearsall,TX
Against,SB 2,Barron,Jim,Judge,Yoakum County,Plains,TX
Against,SB 2,Batla,Brent,fighter,City of Burleson,Celburne,TX
Against,SB 2,Bearden,Jerry,Kenneth H.   Mayor,"Mason County) Beck, Kenneth H.   Mayor  (Village Of Volente",Volente,TX
Against,SB 2,Bennett,Nicholas,Staff,Bexar County,San Antonio,TX
Against,SB 2,Berezin,Michael A.,Police,"City of Missouri City, Texas",Missouri City,TX
Against,SB 2,Blair,Roy,Kevin M.   Chief of Police,"Coke County) Bois, Kevin M.   Chief of Police  (City of Kirby",Kirby,TX
Against,SB 2,Bolt,Thomas,Gary   Chief of Police,"Manor TX), Manon Boshears, Gary   Chief of Police  (City of Granite Shoals",Manon Boshears,"Gary   Chief of Police  (City of Granite Shoals), Marble Falls, TX"
Against,SB 2,Bowie,Barbara,Calvin   Sheriff,"Kirby, Tx) Boyd, Calvin   Sheriff  (Burnet County",Burnet County,TX
Against,SB 2,Bracco,Lance,Chief,Hewitt,Hewitt,TX
Against,SB 2,Brezina,Ben,"Jason   County Judge, Cooke County","City of Frisco), Frisco Brinkley, Jason   County Judge, Cooke County  (Cooke County",Frisco Brinkley,"Jason   County Judge, Cooke County  (Cooke County), Gainesville, TX"
Against,SB 2,Brown,Tim,John   Chief of Police,"Bell County) Bruce, John   Chief of Police  (City of Frisco Police Department",Frisco,TX
Against,SB 2,Bruns,David L.,4,Goliad CO.,Goliad,TX
Against,SB 2,Bullock,J.C.,Judge,"Young County, TX",Graham,TX
Against,SB 2,Burrows,Katie,College,Self,Temple,TX
Against,SB 2,Butler,Kelly P.,Police),Chief of Police)  (City of Wortham/Wortham Police Department,Wortham,TX
Against,SB 2,Cain,Scott,Attorney,City of Cleburne,Cleburne,TX
Against,SB 2,Caldwell,Curtis,Assoc.,Texas School Alliance,Austin,TX
Against,SB 2,Campbell,Byron,Consultant,Dallas Regional Mobility Coalition,Austin,TX
Against,SB 2,Campbell,"Jr., Eugene",Chief,"City of Missouri City, Texas",Missouri City,TX
Against,SB 2,Campos,Lorena,Inc.,"San Antonio Mobility Coalition, Inc. (SAMCO)",San Antonio,TX
Against,SB 2,Cantrell,Jamey,Director,Texas Animal Control Association,Plano,TX
Against,SB 2,Carpenter,Marshall,Student,Self,,
Against,SB 2,Carroll,Bobby,County,Lampases County,,
Against,SB 2,Casaday,Kenneth,Officer,,,
Against,SB 2,Casias,Johnny,Administrator,City of Selma,,
Against,SB 2,Cheshire,Bobby,4,Angelina County,,
Against,SB 2,Chew,Jimmy D.,Chief,,,
Against,SB 2,Clements,Michael,Firefighter,College Station Prof. Fire fighters Association,College Station,TX
Against,SB 2,Collins,Denver,Officer,City of Manor,Manor,TX
Against,SB 2,Cook,Gayle,Michael   City Manager,"City of Seabrook) Coon, Michael   City Manager  (City of Richwood",Richwood,TX
Against,SB 2,Corb,Bryan,Police,City of Richwood,Richwood,TX
Against,SB 2,Cordes,Richard,Co.,Menard County,Menard,TX
Against,SB 2,Coughlin,Ken,chief,Plainview Polke Department,Plainview,TX
Against,SB 2,Crok,David Lloyd,Officer,FWPOH,FW,TX
Against,SB 2,Cunningham,Mary S.,Judge,,,
Against,SB 2,,,,North East Partnership,,
Against,SB 2,Darby,Curtis,Ray   Asst. Superintendent,"City of Bryan) Deason, Ray   Asst. Superintendent  (Ore City ISD",Ore City,TX
Against,SB 2,deLeon,Suzanne,Brenda   City Secretary,"Balcones Heights) Dennis, Brenda   City Secretary  (City of Schertz",Schertz,TX
Against,SB 2,Deshrelds,Glenn,Director,Texas State Association of Fire Fighters,Austin,TX
Against,SB 2,Devlin,James W.,Police,City of Hewitt,Hewitt,TX
Against,SB 2,DeWitt,Jim,Finance,Travis County ESD #6,Austin,TX
Against,SB 2,Dick,Chris,Manager,City of Midlothian,Midlothian,TX
Against,SB 2,Dillard,David,Judge,Concho County,,
Against,SB 2,Dixon,Frank,chief,City of Austin Police Department,,
Against,SB 2,Duanick,Tom,Auditor,,,
Against,SB 2,Durand-Hollis,Gabriel,Architect,"Mayor City of Hill Country Village, TX",,
Against,SB 2,Eckstein,Deece,Bruce   Tax Assessor,"Travis County) Elrant, Bruce   Tax Assessor  (Self",Aus,TX
Against,SB 2,Essary,Derry,Chris   Lieutenant Live Oak Fire Dept.,"Bunker Hill Village MUDD VFD), Houston Everett, Chris   Lieutenant Live Oak Fire Dept.  (Live Oak",Houston Everett,"Chris   Lieutenant Live Oak Fire Dept.  (Live Oak), Live Oak, TX"
Against,SB 2,Ewerz,Michele,,Self,Cedar Park,TX
Against,SB 2,Fields,Rex,Stephen C.   County Judge,"Self) Floyd, Stephen C.   County Judge  (Tom Green County",San Angelo,TX
Against,SB 2,Frazier,Fredrick,Officer,Dallas Police Association,Dallas,TX
Against,SB 2,Frederick,Pam,Mayor,City of Bullard,,
Against,SB 2,Freeman,Mayor Derrick,Mayor,City of Port Arthur,Port Arthur,TX
Against,SB 2,Fulk,Kirk,Clayton   CFO,"Mills Co) Fulton, Clayton   CFO  (City of Hurst",Hurst,TX
Against,SB 2,Funderburk,Brian,Manager,City of Rowlett,,
Against,SB 2,Gaddes,Larry,Assessor/Collector,,,
Against,SB 2,Galvan,"Jr., Paul M.",Granbury,Self,Granbury,TX
Against,SB 2,Gholson,Wendy,Finance,City of Granite Shoals,Granite Shoals,TX
Against,SB 2,Gilliam,Dean,Officer,Fort Worth Police Officers Assoc.,FW,TX
Against,SB 2,Goyle,Jeff,Affairs,City of San Antonio,,
Against,SB 2,Gravell,Judge Bill,Peace,Justices of the Peaced Constable Assc. of Texas,,
Against,SB 2,Grimes,Bryan,Manager,,,
Against,SB 2,Gutierrez,Bobby,Constable,,Austin,TX
Against,SB 2,Gutierrez,Ralph,member,City of Schertz,Silvertree,TX
Against,SB 2,Halfmann,Kim,Judge,Glasscock County,,
Against,SB 2,Hanill,Joe,Director,American Federation of State County & Municipal Employees,,
Against,SB 2,Harmon,Micah C.,Sheriff,Sheriff's Association of Texas,Hallettsville,TX
Against,SB 2,Harris,David,Administrator,City of Baloones Heights,Balones Hgts,TX
Against,SB 2,Harrison,Greg,Commissioner,Angelina County,Lufkin,TX
Against,SB 2,Harrison,Rodney,Police,Town of Little Elm,,
Against,SB 2,Harvey,Brian,Steve   Fire Department City of Arlington,"Allen Police & City of Allen) Hendrix, Steve   Fire Department City of Arlington  (City of Arlington",Arlington,TX
Against,SB 2,Herden,Martha,Member,"City of Blanco, TX",Blanco,TX
Against,SB 2,Hernandez,Jaime J.,Mark   Architect,"Weslaco), Weslaco Hill, Mark   Architect  (City of Coppell",Weslaco Hill,"Mark   Architect  (City of Coppell), Coppell, TX"
Against,SB 2,Hiner,Harrison,Director,Texas State Employees Union,Austin,TX
Against,SB 2,Hollarn,Joe,Byron   Bellaire Police  - Chief,"Joshua, Tx) Holloway, Byron   Bellaire Police  - Chief  (City of Bellaire",Bellaire,TX
Against,SB 2,Howard,Neil,Chief,City of Rowlett,,
Against,SB 2,Huckaby,Clayton,Department,Texas Fire chiefs Association,Buda,TX
Against,SB 2,Hughson,Jane,member,City of San Marcos,,
Against,SB 2,Hunt,Deborah,A/C,current Williamson Central Appraisal District,,
Against,SB 2,,,,Houston Police Officers' Union,Hou.,TX
Against,SB 2,Hurlbert,Heather,Director,City of San Marcos,,
Against,SB 2,Hurley,Robert C,Robert   Fire Chief,,,
Against,SB 2,James,Nick,Lobbyist,,,
Against,SB 2,Jarl,Katie,Frank   City Manager,"The Humane Society of the United States) Johnson, Frank   City Manager  (City of Hillsboro",Hillsboro,TX
Against,SB 2,Johnson,Sean,Director,City of Lancaster Texas,Dalls,TX
Against,SB 2,Johnson,Steven,President,Texas Association of Community Colleges,Austin,TX
Against,SB 2,Jones,Joshua,Manager,City of Joshua,Joshua,TX
Against,SB 2,Kafka,Bob,Organizer,ADAPT of Tx,,
Against,SB 2,Kelly,Kevin,Dept.,Austin Police Dept.,,
Against,SB 2,Kidd,Bo,Police,City of Buda,,
Against,SB 2,Kiel,Teresa,Clerk,Self; Myself & The County 4 District Clerks Association,Seguin,TX
Against,SB 2,Kitchens,Larry,Kristen   County Auditor,"City of Hurst, TX) Klein, Kristen   County Auditor  (Texas Assoc of County Auditors",Seguin,TX
Against,SB 2,Kleinman,Lee,Council,Dallas City Council,Dallas,TX
Against,SB 2,Knowlton,Stuart,Member,Atascosa County,Poteet,TX
Against,SB 2,Koebele,Stephen,constultant,Galveston County Commissioners Court,Austin,TX
Against,SB 2,Kohler,James,"Jr., Roger W.   Division Fire Chief","City of Boerne) Lampman, Jr., Roger W.   Division Fire Chief  (City of Kerrvile",Kerrville,TX
Against,SB 2,Landry,Mitch,Director,Texas Municipal Police Association,,
Against,SB 2,Langford,Bob,Amy,"Montague County) Lawson, Amy    (Self",Austin,TX
Against,SB 2,Lee,Allyssa,,Self,Austin,TX
Against,SB 2,Lewis,Gary D.,Chief,City of Bullard,Bullard,TX
Against,SB 2,Lopez,Antonio,Dept,City of Weslalo,,
Against,SB 2,Lopez,Carlos,Constable,Justices of the Peace and Constable's Association of Texas,Austin,TX
Against,SB 2,,,,,,
Against,SB 2,Lovett,Ted,Chief,,,
Against,SB 2,Loyd,Robert F,Matthew   Police Office,"City of Lubbock; City of Lufkin) Malone, Matthew   Police Office  (City of Live Oak",Live Oak,TX
Against,SB 2,Maples,Tobin,Manager,City of Fair Oaks Ranch,,
Against,SB 2,Marez,John,Commissioner,,,
Against,SB 2,Martinez,Christy,Enforcement,Grand Prairie Police Department,Grand Prairie,TX
Against,SB 2,Maso,Mayor Maha,JP   Police Officer,"City of Frisco, Tx) Mason, JP   Police Officer  (Arlington Police Association",Arlington,TX
Against,SB 2,Mast,Brian S.,Relations,San Antonio River Authority,SA,TX
Against,SB 2,Maxwell,"Thomas ""Troy""",TX,UC Citizen,Universal City,TX
Against,SB 2,Mayes,"Jr., Thomas Cullee",Staff,Bexar County,San Antonio,TX
Against,SB 2,MayField,Kara,Dale   Fire Chief,"Association of Rural Communities in TX), Austin McCaskill, Dale   Fire Chief  (City of Midlothian",Austin McCaskill,"Dale   Fire Chief  (City of Midlothian), Midlothian, TX"
Against,SB 2,McCollum,Scott,Wade   County Commissioner,"City of College Station) McKinney, Wade   County Commissioner  (Henderson County",Eustace,TX
Against,SB 2,McMahan,Jonathan,Chief,City of College Station,College Sta,TX
Against,SB 2,McNabb,Bryan,Enforcement,Southside Place,Southside Place,TX
Against,SB 2,Meckel,Doug,Chief,City of Boerne,Boerne,TX
Against,SB 2,Megyesi,Lorne,Mark   Assistant  County Administrator,"City of Fate) Mendez, Mark   Assistant  County Administrator  (Tarrant County",Ft. Worth,TX
Against,SB 2,Mesyesi,Lorne,Mayor,City of Fate,,
Against,SB 2,Mihalkanin,Ed,Adam   City Manager,"City of San Marcos) Miles, Adam   City Manager  (City of Hewitt, Hewitt TX 76643",Hewitt,TX
Against,SB 2,Miles,Colby,student,Self,Haslet,TX
Against,SB 2,Mills,Buddy,County,Sheriff's Association of Texas / Gillespie Co.,Fredricksburg,TX
Against,SB 2,Moore,Steve,Chief,City of Hurst,Hurst,TX
Against,SB 2,Morales,Alonzo,2,Goliad County,Goliad,TX
Against,SB 2,Moreno,Celina,attorney,MALDEF,San Antonio,TX
Against,SB 2,Moreno,Stephanie,Judge,Bee County,Beeville,TX
Against,SB 2,Muhamet,"Detective, Jerry",Enforcement,"City of Cameron, Texas/ Cameron Police Department",Camerons,TX
Against,SB 2,Mund,Michele,,Self,Austin,TX
Against,SB 2,Munkres,Lynda,Judge,Morris Co. & Local Governments & Taxing Entities,Omaha,TX
Against,SB 2,Neal,Danny,Judge,McCulloch County,Brady,TX
Against,SB 2,Nichols,Colby,Attorney,,,
Against,SB 2,Assoc.),Austin,Terry   Chief of Police,Brownwood Police Dept.,Austin Nichols,"Terry   Chief of Police  (Brownwood Police Dept.), Brownwood, TX"
Against,SB 2,Nickeron,Wade,Finance,City of Baytown,Baytown,TX
Against,SB 2,Noble,Chris,Kristen   AFSCME Local 1624 (union rep),"City of Sealy, Tx) O'Brien, Kristen   AFSCME Local 1624 (union rep)  (AFSCME Local 1624",Austin,TX
Against,SB 2,Oakley,"CPA, Julie",Manager,"City of Lakeway, Tx",Lakeway,TX
Against,SB 2,Olsen,Brian,#3,Aransas County,Rockport,TX
Against,SB 2,Ortowski,Alison,Jon   Firefighter/ City of Arlington,"City of Southlake) Padilla, Jon   Firefighter/ City of Arlington  (City of Arlington",Arlington,TX
Against,SB 2,Padula,David   Chief of Police,Police,"City of Selma, Texas",Selma,TX
Against,SB 2,Palla,David,Fighter,City of Hurst,Hurst,TX
Against,SB 2,Pantel,Jama,Relations,Justices of the Peace & Constables Association of Texas,Austin,TX
Against,SB 2,Park,Rick,Chief,City of Lake Jackson,Lake Jackson,TX
Against,SB 2,Parker,J Rhett,Manager,City of Cameron Texas,,
Against,SB 2,Parson,Mickey D.,investments,,,
Against,SB 2,Granburg Petherbridge,Patrick,Police,City of Pflugerville,Pflugerville,TX
Against,SB 2,Phelps,Jennifer Poteat,Ryan   Chief of Police,"Community College Association of Texas Trustees) Phipps, Ryan   Chief of Police  (City of Manor, TX",Manor,TX
Against,SB 2,Pierson,James,Police,City of Henderson,Henderson,TX
Against,SB 2,Piland,Mark,Fire,,,
Against,SB 2,Pitts,Terry,Commissioner,Angelina County,Huntington,TX
Against,SB 2,Porter,Greg,Manager,City of Cedar Hill,Cedar Hill,TX
Against,SB 2,Powers,Rusty,Rachel L.   Mayor Pro Tem.,"Plainview Fire Dept. City of Plainview) Proctor, Rachel L.   Mayor Pro Tem.  (City of DeSoto, TX",DeSoto,TX
Against,SB 2,Ramirez,Ricardo,Relations,City of Sugar Land,Sugar Land,TX
Against,SB 2,Randall,Gerald,Firefighter,Arlington Fire Department,Arl,TX
Against,SB 2,Raschke,Linda,Commissioner,Llano County,Dam,TX
Against,SB 2,Redford,Susan,"Cyrus   Sierra Club, Lone Star Chapter","Self) , Leander Reed, Cyrus   Sierra Club, Lone Star Chapter  (Conservation Director",Leander Reed,"Cyrus   Sierra Club, Lone Star Chapter  (Conservation Director), Austin, TX"
Against,SB 2,Rex,Judson,Manager,,,
Against,SB 2,Reyes,Stephanie,Commerce,San Antonio Chamber of Commerce,,
Against,SB 2,Richardson,Dr. Tarron,Manager,City of DeSoto,,
Against,SB 2,Riley,Jeremy,Firefighter,City of Bryan,,
Against,SB 2,Roberts,Karen,Dwayne   Bexar County - Office of County Judge,"Texas Humane Legislation Network) Robinson, Dwayne   Bexar County - Office of County Judge  (Self",Schertz,TX
Against,SB 2,Roden,Gary,Owner,City of Coppell,Coppell,TX
Against,SB 2,Rodriguez,Jimmy,Director,San Antonio Police Officers Association,,
Against,SB 2,Rodriguez,Ramiro J,Mayor,,,
Against,SB 2,Romero,Andrew,Officer,Austin Police Association,,
Against,SB 2,Rubin,Scott,Police,City of Fair Oaks Ranch,,
Against,SB 2,Sandoval,Mike,3,Llano County,,
Against,SB 2,Shannon,Melissa,Director,County of Bexar Commissioners Court,San Antonio,TX
Against,SB 2,Shetter,Ken,Mayor,"Burleson, Tx",Burleson,TX
Against,SB 2,Short,Shaun,Chief,City of Joshua,Joshua,TX
Against,SB 2,Shuster,Joe,Judge,Pecos County,Ft. Stockton,TX
Against,SB 2,Sisson,John,3,Travis Co Constable Stacy Suits,Austin,TX
Against,SB 2,Smith,Andrean,Relations,University Health System,San Antonio,TX
Against,SB 2,Smith,Carl D.,Police,City of Midlothian,Midlothian,TX
Against,SB 2,Smith,Lisa,Auditor,Bastrop County,,
Against,SB 2,Smith,Sheriff R. Glenn,Sheriff,"City of Bryan, TX",Bryan,TX
Against,SB 2,Smyre,Jay,Retired,Bunker Hill Village,Hou,TX
Against,SB 2,Snipes,Anthony,Manager,City of Missouri City,,
Against,SB 2,Snyder,Jeffrey,Manager,City of Plainview,,
Against,SB 2,Squire,Lon,Michael   Fire Chief,"City of Jacinto City) Starr, Michael   Fire Chief  (City of Aubrey and City of Southlake",Aubrey,TX
Against,SB 2,Stokes,Mayor Lynna,Reno,City of Reno,Azle,TX
Against,SB 2,Tagliabue,Tom,Relations,City of Corpus Christi,Corpus Christi,TX
Against,SB 2,Teal,James E.,Judge,McMullen County,Tilden,TX
Against,SB 2,Thatcher,Jonathan,Attorney,City of Forney,,
Against,SB 2,Thomason,Curtis,Police,Kerrville Police Department,,
Against,SB 2,Tittle,Gary,Police,City of Dallas - Dallas Police Department,Dallas,TX
Against,SB 2,Torres,Sophie,,San Antonio Hispanic Chamber of Commerce,SA,TX
Against,SB 2,Tovow,Jesse Lee,firefighter,Arlington,Arlington,TX
Against,SB 2,Tyler,David,Firefighter,Arlington,Arlington,TX
Against,SB 2,Utley,Marisa Yvette,Self-employed,Jim Wells County,Alice,TX
Against,SB 2,Valadez,James,Broker,Self,Austin,TX
Against,SB 2,,,,,,
Against,SB 2,Association),Fort Worth,Michael A.   Chief of Police,City of Palmhurst,Fort Worth Vela,"Michael A.   Chief of Police  (City of Palmhurst), Palmhurst, TX"
Against,SB 2,Volz,Darrell,Police,City of Balcones Heights,Garden Ridge,TX
Against,SB 2,Wade,Blakely,Chief,City of Leon Valley,San Antonio,TX
Against,SB 2,Wait,Dudley,President,Texas EMS Alliance,Schertz,TX
Against,SB 2,Ward,William B.,Department,Balcones Heights,San Antonio,TX
Against,SB 2,Warren,Davis,"Chris   City Manager, Rockdale TX","City of Rosenberg) Whttaker, Chris   City Manager, Rockdale TX  (Citizens of Rockdale",Rockdale,TX
Against,SB 2,Wisko,Michael W.,Galveston,Texas Fire Chief's Association,,
Against,SB 2,Wittle,David,,ADAPT of Texas,,
Against,SB 2,Wright,Sean,"Susan   Bexar Co. Auditor, TX Assn of Co. Auditors","Seabrook Police Dept. City of Seabrok) Yeatts, Susan   Bexar Co. Auditor, TX Assn of Co. Auditors  (Bexar Co.",SA,TX
Against,SB 2,Yezak,Gerald,Sheriff,Sheriff's Assoc of Texas,Franklin,TX
Against,SB 2,Yingling,Nancy,Councilmember,City of Coppell,,
Against,SB 2,Young,"PCED, Genora C.",Development,City of Gonzales,,
Against,SB 2,Zagurski,John,Finance,Government Finance officers of Texas,Fort Worth,TX
Against,SB 2,Zeller,Ben,Judge,Texas Taxpayers,Victoria,TX
On,SB 2,Coatney,David,Chief,"Dallas Fire - Rescue, City of Dallas",Dallas,TX
On,SB 2,Crigler,Marya,Appraiser,Travis Central Appraisal District,Austin,TX
On,SB 2,Horelica,Henry,Chief,Cameron Fire Dept,Cameron,TX
On,SB 2,Rivero,Hector,,Texas Chemical Council,Austin,TX
On,SB 2,Robinson,Jim,Robert   City Administrator,"Harris County) Wood, Robert   City Administrator  (City of West Lake Hills",West Lake Hills,TX
For,SB 2,Falk,Roger,Union,Travis County Taxpayer Union,,
For,SB 2,Goldstone,John,Attorney,,,
For,SB 2,Mattingly,Edward A.,Owner,Self and MKM Trusts,,
For,SB 2,Miller,Diana,Broker,,,
For,SB 2,Salazar,Javier,Carter   Commercial Real Estate,"County of Bexar Sheriff's Office), San Antonio Shillig, Carter   Commercial Real Estate  (Self",San Antonio Shillig,"Carter   Commercial Real Estate  (Self) , Plano, TX"
For,SB 2,Spilman,Annie,Director,National Federation of Independent Business/ Texas,Austin,TX
For,SB 2,Sullivan,Ray,Consultant,"Amazon, Braden Cox",Austin,TX
For,SB 2,Vrshek,David,Retired,Self; My Self,Richmond,TX
Against,SB 2,Anderson,David D.,lobbyist,,,
Against,SB 2,Baker,Lindsey,Relations,"Gary Henderson, President & CEO United Way of Denton County and Mayor Chris Watts, City of Denton",,
Against,SB 2,Beneski,Amy,Relations,Texas Association of School Administrators,Austin,TX
Against,SB 2,Bovos,Aaron   CFO,Aaron   CFO,"City of Ft. Worth), Ft. Worth Bovos, Aaron   CFO  (City of Fort Worth",Ft. Worth Bovos,"Aaron   CFO  (City of Fort Worth), Ft. Worth, TX"
Against,SB 2,Broussard,Edward,Nancy   City Administrator,"City of Tyler) Cain, Nancy   City Administrator  (City of Garden Ridge",Garden Ridge,TX
Against,SB 2,Calvin,Taylor,Drew   Consultant,"City of Laredo) Campbell, Drew   Consultant  (North Texas Commission",Dreck,TX
Against,SB 2,Chandler,Clayton W.,yrs,City of Mansfield,,
Against,SB 2,Cimics,Ed,Man,City of Live Oak,,
Against,SB 2,Cordell,Billy,Police,,,
Against,SB 2,Cuellar,Guadalupe,Pas,City of El Paso,,
Against,SB 2,Day,Jackson,Administrator,City of Georgetown,,
Against,SB 2,Durham,William,Chief,City of Levelland,,
Against,SB 2,France,Brie L.,Officer,City of Austin,,
Against,SB 2,Frankie,Rob,Michael L.   Asst. Chief Tyler F.D.,"Cedar Hill), Cedar Hill Frost, Michael L.   Asst. Chief Tyler F.D.  (Tyler Fire Dept. City of Tyler",Tyler,TX
Against,SB 2,Garcia,Carmela,Educator,City of Jacinto City,Houston,TX
Against,SB 2,Giarratani,Dominic,Director,,,
Against,SB 2,Hood,Charles,Chief,City of San Antonio,,
Against,SB 2,Hulett,Nin,"Mayor Karen   Mayor, City of Coppell","City of Granbury TX), Granbury Hunt, Mayor Karen   Mayor, City of Coppell  (City of Coppell",Granbury Hunt,"Mayor Karen   Mayor, City of Coppell  (City of Coppell), Coppell, TX"
Against,SB 2,Jones,Michael Paul,President,Burleson Professional Firefighters Assoc.,Burleson,TX
Against,SB 2,Kelly,Bill,Relations,"Mayor's Office, City of Houston",Houston,TX
Against,SB 2,Merrit,Chandler,Government,City of McKinney,McKinney,TX
Against,SB 2,Milligan,Maureen,Director,,,
Against,SB 2,Nix,John,Tem,,,
Against,SB 2,Nystrom,Ashley,Waco,City of Waco,,
Against,SB 2,Owen,Allen,TX,,,
Against,SB 2,Pickett,Stan,Patty   Legislative Counsel,"City of Mesquite) Quinzi, Patty   Legislative Counsel  (TX- American Federation of Teachers",Austin,TX
Against,SB 2,Short,Jim,Lobbyist,FT Bend County,Fulsheau,TX
Against,SB 2,Smith,David L.,Manager,,,
Against,SB 2,Stewart,Bill,Administrator,,,
Against,SB 2,Strong,Dan O,councilman,Burleson,,
Against,SB 2,Sugg,Paul J.,Jimmy   Chief of Police,"Texas Association of Counties), San Antonio Toler, Jimmy   Chief of Police  (City of Tyler",San Antonio Toler,"Jimmy   Chief of Police  (City of Tyler), Tyler, TX"
Against,SB 2,Trimble,Keidric,CFO,City of Tyler,Tyler,TX
Against,SB 2,Wayman,Scott,Manager,City of Live Oak,Live Oak,TX
