FullText,Position,Bill,LastName,FirstName,Role,Organization,City,State
"Parkinson, Thomas (Self)",For,HB 269,Parkinson,Thomas,,Self,,
"Wheeler, Julie (Travis County Commissioners Court)",For,HB 269,Wheeler,Julie,,Travis County Commissioners Court,,
"Williams, Betty (Self)",For,HB 269,Williams,Betty,,Self,,
"Wygant, James (Self)",For,HB 269,Wygant,James,,Self,,
"Mills, Buddy (Self; Sheriff's Association of Texas)",Against,HB 269,Mills,Buddy,,Self; Sheriff's Association of Texas,,
"Rowe, Kelly (Sheriffs' Association of Texas)",Against,HB 269,Rowe,Kelly,,Sheriffs' Association of Texas,,
"Scaman, Ricky (Self; Sheriff's Association of Texas)",Against,HB 269,Scaman,Ricky,,Self; Sheriff's Association of Texas,,
"Smith, R Glenn (Self; Sheriffs Assoociation of Texas)",Against,HB 269,Smith,R Glenn,Glenn,Self; Sheriffs Assoociation of Texas,,
"Owen, Rainey (Self)",For,HB 271,Owen,Rainey,,Self,,
"Owen, Rita (Self)",For,HB 271,Owen,Rita,,Self,,
"Ita, Trina (Health and Human Services Commission)",On,HB 271,Ita,Trina,,Health and Human Services Commission,,
"Esparza, John (Texas Trucking Association)",For,HB 272,Esparza,John,,Texas Trucking Association,,
"Kimball, Mandi (Children At Risk)",For,HB 272,Kimball,Mandi,,Children At Risk,,
"Lanier, Kylla (Truckers Against Trafficking)",For,HB 272,Lanier,Kylla,,Truckers Against Trafficking,,
"Melton, Kirsta (Office of the Attorney General)",On,HB 272,Melton,Kirsta,,Office of the Attorney General,,
"Cain, Randy (City of Dallas)",For,HB 272,Cain,Randy,,City of Dallas,,
"Hettinger, Ann (Self; Center for the preservation of American ideals)",For,HB 272,Hettinger,Ann,,Self; Center for the preservation of American ideals,,
"Houston, Joshua (Texas Impact)",For,HB 272,Houston,Joshua,,Texas Impact,,
"Lara, Rene (Texas AFL-CIO)",For,HB 272,Lara,Rene,,Texas AFL-CIO,,
"Reilly, Wendy (Self)",For,HB 272,Reilly,Wendy,,Self,,
"Saenz, Gabriela (Catholic Health Association)",For,HB 272,Saenz,Gabriela,,Catholic Health Association,,
"Smith, Arianna (Combined Law Enforcement Associations of Texas, CLEAT)",For,HB 272,Smith,Arianna,,"Combined Law Enforcement Associations of Texas, CLEAT",,
"Thurston, James (United Ways of Texas)",For,HB 272,Thurston,James,,United Ways of Texas,,
"Van de Putte, Leticia (Self)",For,HB 272,Van de Putte,Leticia,,Self,,
"Hearn, Skylor (Texas DPS)",On,HB 272,Hearn,Skylor,,Texas DPS,,
"Fairbrother, Bill (Self; Texas Republican County Chairmen's Association)",For,HB 273,Fairbrother,Bill,,Self; Texas Republican County Chairmen's Association,,
"Hammerlein, George (Harris County Clerks Office)",For,HB 273,Hammerlein,George,,Harris County Clerks Office,,
"Johnson, Ed (Harris county clerks office)",For,HB 273,Johnson,Ed,,Harris county clerks office,,
"Maxey, Glen (Texas Democratic Party)",For,HB 273,Maxey,Glen,,Texas Democratic Party,,
"Parenteau, Julia (Texas Association of Realtors)",For,HB 273,Parenteau,Julia,,Texas Association of Realtors,,
"Banks, Yannis (Texas NAACP)",For,HB 273,Banks,Yannis,,Texas NAACP,,
"Davis, Chris (Texas Association of Elections Administrators)",For,HB 273,Davis,Chris,,Texas Association of Elections Administrators,,
"Gentry, Karen (Self)",For,HB 273,Gentry,Karen,,Self,,
"Gonzalez, Daniel (Texas Assocation of REALTORS)",For,HB 273,Gonzalez,Daniel,,Texas Assocation of REALTORS,,
"Parkinson, Thomas (Self)",For,HB 273,Parkinson,Thomas,,Self,,
"Roberts, Cary (County and District Clerks' Association of Texas)",For,HB 273,Roberts,Cary,,County and District Clerks' Association of Texas,,
"Vera, Alan (Harris County Republican Party Ballot Security Committee)",For,HB 273,Vera,Alan,,Harris County Republican Party Ballot Security Committee,,
"Cuellar, Guadalupe (City of El Paso)",Against,HB 273,Cuellar,Guadalupe,,City of El Paso,,
"Connolly, Maren (Self)",On,HB 273,Connolly,Maren,,Self,,
"Fischer, Ashley (Secretary of State)",On,HB 273,Fischer,Ashley,,Secretary of State,,
"Hopkins, Terry (Self)",On,HB 273,Hopkins,Terry,,Self,,
"Marsh, Deborah (Self)",On,HB 273,Marsh,Deborah,,Self,,
"Tuo, Ruei (Self)",On,HB 273,Tuo,Ruei,,Self,,
"Davis, Chris   Treasurer  (Texas Assoc. of Elections Administrators), Georgetown, TX",For,HB 273,Davis,Chris,Treasurer,Texas Assoc. of Elections Administrators,Georgetown,TX
"Fairbrother, Bill   Legislative Chair, TRCCA  (TRCCA), Round Rock, TX",For,HB 273,Fairbrother,Bill,"Legislative Chair, TRCCA",TRCCA,Round Rock,TX
"Johnson, Ed   Director  (Harris Co Clerks Office), Houston, TX",For,HB 273,Johnson,Ed,Director,Harris Co Clerks Office,Houston,TX
"Parenteau, Julia   Assoc. Director of Legislative Affairs  (Texas Assn. of Realtors), Austin, TX",For,HB 273,Parenteau,Julia,Assoc. Director of Legislative Affairs,Texas Assn. of Realtors,Austin,TX
"Vera, Alan D.   Chairman  (Harris County Republican Party Ballot Security Comm), Houston, TX",For,HB 273,Vera,Alan,D.   Chairman,Harris County Republican Party Ballot Security Comm,Houston,TX
"Ingram, Keith   Director, Elections Division  (Texas Secretary of State), Austin, TX",On,HB 273,Ingram,Keith,"Director, Elections Division",Texas Secretary of State,Austin,TX
"Johnson, Noel (TMPA Texas Municipal Police Association)",For,HB 277,Johnson,Noel,,TMPA Texas Municipal Police Association,,
"Kelley, Barbara (Self)",For,HB 277,Kelley,Barbara,,Self,,
"Kelley, Jack (Self)",For,HB 277,Kelley,Jack,,Self,,
"Davis, Sandra (Self)",For,HB 277,Davis,Sandra,,Self,,
"Smith, Arianna (Combined Law Enforcement Associations of Texas, CLEAT)",For,HB 277,Smith,Arianna,,"Combined Law Enforcement Associations of Texas, CLEAT",,
"Bufkin, Alice (Texas Women's Healthcare Coalition)",For,HB 279,Bufkin,Alice,,Texas Women's Healthcare Coalition,,
"Dunn, Carl (Self; Texas District - American College of Obstetricians and Gynecologists)",For,HB 279,Dunn,Carl,,Self; Texas District - American College of Obstetricians and Gynecologists,,
"Geoffray, Kami (Women's Health and Family Planning Association of Texas)",For,HB 279,Geoffray,Kami,,Women's Health and Family Planning Association of Texas,,
"Alexanderson, Emily (Self; Texas state school of nursing)",For,HB 279,Alexanderson,Emily,,Self; Texas state school of nursing,,
"Ali, Ahtesham (Self)",For,HB 279,Ali,Ahtesham,,Self,,
"Ali, Darcy (Self)",For,HB 279,Ali,Darcy,,Self,,
"Anderson, Brittany (TNA)",For,HB 279,Anderson,Brittany,,TNA,,
"Andrade, Marla (Texas State university)",For,HB 279,Andrade,Marla,,Texas State university,,
"Banda, Jennifer (Texas Hospital Association)",For,HB 279,Banda,Jennifer,,Texas Hospital Association,,
"Bobbitt, Savannah (TNA)",For,HB 279,Bobbitt,Savannah,,TNA,,
"Brown, Chrystal (Self; Texas Nurses Association)",For,HB 279,Brown,Chrystal,,Self; Texas Nurses Association,,
"Brumfield, Valerie (Self; Nurses)",For,HB 279,Brumfield,Valerie,,Self; Nurses,,
"Bryant, Kelley (Self; Texas Nurses Association)",For,HB 279,Bryant,Kelley,,Self; Texas Nurses Association,,
"Burley, Cathryn El (Self; Texas nurses association)",For,HB 279,Burley,Cathryn El,El,Self; Texas nurses association,,
"Carter, Ashley (Texas Nurses Association)",For,HB 279,Carter,Ashley,,Texas Nurses Association,,
"Castleberry, Connie (Self; TNA)",For,HB 279,Castleberry,Connie,,Self; TNA,,
"Clifton-Hernandez, Naomi (Self; Texas Nurses Association)",For,HB 279,Clifton-Hernandez,Naomi,,Self; Texas Nurses Association,,
"Cox, Jessica (Self; NAPNAP NANN AWHONN)",For,HB 279,Cox,Jessica,,Self; NAPNAP NANN AWHONN,,
"Crawford spelce, Kelsey (Self; Texas nursing association)",For,HB 279,Crawford spelce,Kelsey,,Self; Texas nursing association,,
"Daverth, Gwen (Texas Campaign to Prevent Teen Pregnancy)",For,HB 279,Daverth,Gwen,,Texas Campaign to Prevent Teen Pregnancy,,
"Dayberry, Tamatha (Self; TNA)",For,HB 279,Dayberry,Tamatha,,Self; TNA,,
"DeFrehn, Patricia (Self; Texas Nurses Association, Nurse Executives)",For,HB 279,DeFrehn,Patricia,,"Self; Texas Nurses Association, Nurse Executives",,
"Delk-fikes, Jenny (Self; Texas nurses association)",For,HB 279,Delk-fikes,Jenny,,Self; Texas nurses association,,
"Dorman-O'Donnell, Margie (Self; Texas Nurses Association)",For,HB 279,Dorman-O'Donnell,Margie,,Self; Texas Nurses Association,,
"Eades, Tammy (Self; Texas nursing association)",For,HB 279,Eades,Tammy,,Self; Texas nursing association,,
"Farmer-Guerra, Anthoney (Self; Spread Hope Like Fire)",For,HB 279,Farmer-Guerra,Anthoney,,Self; Spread Hope Like Fire,,
"Fay-Stindt, Zoe (Self)",For,HB 279,Fay-Stindt,Zoe,,Self,,
"Ford, Candice (Self; Tsna)",For,HB 279,Ford,Candice,,Self; Tsna,,
"Frey, Gabrielle (Self; Texas Nurses Association)",For,HB 279,Frey,Gabrielle,,Self; Texas Nurses Association,,
"Garcia, Joe (Universtiy Health System)",For,HB 279,Garcia,Joe,,Universtiy Health System,,
"Grant, Kimberley (Self; Texas nurses association)",For,HB 279,Grant,Kimberley,,Self; Texas nurses association,,
"Green, Linda (Self; Tna)",For,HB 279,Green,Linda,,Self; Tna,,
"Grubesic, Ruth (Self; Texas Nurses Association)",For,HB 279,Grubesic,Ruth,,Self; Texas Nurses Association,,
"Hawes, Janice (Tna)",For,HB 279,Hawes,Janice,,Tna,,
"Hayes, Maria (Self; TNA)",For,HB 279,Hayes,Maria,,Self; TNA,,
"Heggins, Joyce (Self; Tna)",For,HB 279,Heggins,Joyce,,Self; Tna,,
"Henager, Jennifer (Central Texas Regional Advisory Council)",For,HB 279,Henager,Jennifer,,Central Texas Regional Advisory Council,,
"Henderson, Toni (Self; TNA)",For,HB 279,Henderson,Toni,,Self; TNA,,
"Hernandez, Sofia (Self)",For,HB 279,Hernandez,Sofia,,Self,,
"Herterich, Lisa (TNA)",For,HB 279,Herterich,Lisa,,TNA,,
"Hester, Melinda (Self; Texas state university school of nursING)",For,HB 279,Hester,Melinda,,Self; Texas state university school of nursING,,
"Hill, Cynthia (Self; TNA)",For,HB 279,Hill,Cynthia,,Self; TNA,,
"Hinkle, Dan (Texas Academy of Family Physicians)",For,HB 279,Hinkle,Dan,,Texas Academy of Family Physicians,,
"Howard, Jazzlyn (Self)",For,HB 279,Howard,Jazzlyn,,Self,,
"Jeffries, Karen (Self; Texas nurses assoc)",For,HB 279,Jeffries,Karen,,Self; Texas nurses assoc,,
"Kidd, Laura (Self; Texas Nurses Assn)",For,HB 279,Kidd,Laura,,Self; Texas Nurses Assn,,
"Kreeger, Lauren (League of Women Voters of Texas)",For,HB 279,Kreeger,Lauren,,League of Women Voters of Texas,,
"Lowe, Anita (TNA)",For,HB 279,Lowe,Anita,,TNA,,
"Lucas, Shannon (March of Dimes)",For,HB 279,Lucas,Shannon,,March of Dimes,,
"Martinez, Maria (Self)",For,HB 279,Martinez,Maria,,Self,,
"May, Alberta (Self)",For,HB 279,May,Alberta,,Self,,
"Mccluskey, Sally (Self; Angelo staite university)",For,HB 279,Mccluskey,Sally,,Self; Angelo staite university,,
"McKeever, Susan (Self; TSNA)",For,HB 279,McKeever,Susan,,Self; TSNA,,
"Miller, Janice (Self; TNA)",For,HB 279,Miller,Janice,,Self; TNA,,
"Miller, Katherine (Texas Freedom Network)",For,HB 279,Miller,Katherine,,Texas Freedom Network,,
"Milligan, Maureen (Teaching hospitals of texas)",For,HB 279,Milligan,Maureen,,Teaching hospitals of texas,,
"Momii, Sybil (Tna)",For,HB 279,Momii,Sybil,,Tna,,
"Morrell, Patricia (Self; Texas Nurse Association)",For,HB 279,Morrell,Patricia,,Self; Texas Nurse Association,,
"Mulholland, Katherine (TNA)",For,HB 279,Mulholland,Katherine,,TNA,,
"Phelps, Patricia (Self)",For,HB 279,Phelps,Patricia,,Self,,
"Pickett, Amy (Self; TNA)",For,HB 279,Pickett,Amy,,Self; TNA,,
"Pogue, Stacey (Center for Public Policy Priorites)",For,HB 279,Pogue,Stacey,,Center for Public Policy Priorites,,
"Randolph, Carol (Self; Tna)",For,HB 279,Randolph,Carol,,Self; Tna,,
"Realini, Janet (Texas Women's Healthcare Coalition)",For,HB 279,Realini,Janet,,Texas Women's Healthcare Coalition,,
"Reeves, Christine (Heart of Texas Regional Advisory Council)",For,HB 279,Reeves,Christine,,Heart of Texas Regional Advisory Council,,
"Rich, Donna (Self; Tna)",For,HB 279,Rich,Donna,,Self; Tna,,
"Roberts, Danielle (Self; Tarrant County College Nursing (NSA))",For,HB 279,Roberts,Danielle,(Self; Tarrant County College Nursing,Self; Tarrant County College Nursing (NSA),,
"Romero, Michelle (Texas Medical Association)",For,HB 279,Romero,Michelle,,Texas Medical Association,,
"Sanders-thompson, Dorothy (TNA)",For,HB 279,Sanders-thompson,Dorothy,,TNA,,
"Saxton, Josette (Texans Care for Children)",For,HB 279,Saxton,Josette,,Texans Care for Children,,
"Smith, Rebecca (Self; Tna)",For,HB 279,Smith,Rebecca,,Self; Tna,,
"Steinbach, Jill (Self; TNA)",For,HB 279,Steinbach,Jill,,Self; TNA,,
"Stokes, Michelle (TNSA)",For,HB 279,Stokes,Michelle,,TNSA,,
"Stuffel, Jessica (Self)",For,HB 279,Stuffel,Jessica,,Self,,
"Swenson Britt, Evelyn (Self)",For,HB 279,Swenson Britt,Evelyn,,Self,,
"Tamez, Eloisa G (Texas nurses association)",For,HB 279,Tamez,Eloisa G,G,Texas nurses association,,
"Temple, Thomas (Self)",For,HB 279,Temple,Thomas,,Self,,
"Thapa, Sumita (Self)",For,HB 279,Thapa,Sumita,,Self,,
"Throockmorton, Terry (Self; Tna)",For,HB 279,Throockmorton,Terry,,Self; Tna,,
"Timmons, Karen (Tna)",For,HB 279,Timmons,Karen,,Tna,,
"Torres, Gabriela (Self; TNA)",For,HB 279,Torres,Gabriela,,Self; TNA,,
"Travis, Clayton (Texas Pediatric Society)",For,HB 279,Travis,Clayton,,Texas Pediatric Society,,
"Vanderzyl, Whitney (Self; TNA)",For,HB 279,Vanderzyl,Whitney,,Self; TNA,,
"Walker, Nancy (University Health System/Bexar County)",For,HB 279,Walker,Nancy,,University Health System/Bexar County,,
"Watson, Jeff (Self; Texas Nurses Association)",For,HB 279,Watson,Jeff,,Self; Texas Nurses Association,,
"Wesely, Ramona (Self; Tna)",For,HB 279,Wesely,Ramona,,Self; Tna,,
"Wilkinson, Crystal (Self)",For,HB 279,Wilkinson,Crystal,,Self,,
"Wilson, Wendy (Consortium of Texas Certified Nurse-Midwives)",For,HB 279,Wilson,Wendy,,Consortium of Texas Certified Nurse-Midwives,,
"Winfield, Nakia (Self; NASW-Texas Chapter)",For,HB 279,Winfield,Nakia,,Self; NASW-Texas Chapter,,
"Wong, Samuel (Self)",For,HB 279,Wong,Samuel,,Self,,
"Hughes, Geoff (Tna)",Against,HB 279,Hughes,Geoff,,Tna,,
"French, Lesley (Health and human services commission)",On,HB 279,French,Lesley,,Health and human services commission,,
"Chicoine, Julie (Texas Hospital Association)",For,HB 280,Chicoine,Julie,,Texas Hospital Association,,
"Zolnierek, Cindy (Self; Texas nurses association)",For,HB 280,Zolnierek,Cindy,,Self; Texas nurses association,,
"Abbott, Delia (Self)",For,HB 280,Abbott,Delia,,Self,,
"Acosta, Teresa (Texas Nurses Association)",For,HB 280,Acosta,Teresa,,Texas Nurses Association,,
"Acuna, Gail (Self)",For,HB 280,Acuna,Gail,,Self,,
"Alexanderson, Emily (Self; Texas state school of nursing)",For,HB 280,Alexanderson,Emily,,Self; Texas state school of nursing,,
"Ali, Ahtesham (Self)",For,HB 280,Ali,Ahtesham,,Self,,
"Ali, Darcy (Self)",For,HB 280,Ali,Darcy,,Self,,
"Anderson, Brittany (TNA)",For,HB 280,Anderson,Brittany,,TNA,,
"Angeles, Seaneila (Texas State School of Nursing)",For,HB 280,Angeles,Seaneila,,Texas State School of Nursing,,
"Ash, Leslie (University of Texas at Tyler)",For,HB 280,Ash,Leslie,,University of Texas at Tyler,,
"Ashcraft, Betty (Self; UT Tyler student)",For,HB 280,Ashcraft,Betty,,Self; UT Tyler student,,
"Ballew, Joel (Texas Health Resources)",For,HB 280,Ballew,Joel,,Texas Health Resources,,
"Barbre, William (Self; Texas Nurse Assoc)",For,HB 280,Barbre,William,,Self; Texas Nurse Assoc,,
"Barragan, Esmeralda (Self)",For,HB 280,Barragan,Esmeralda,,Self,,
"Bobbitt, Savannah (TNA)",For,HB 280,Bobbitt,Savannah,,TNA,,
"Brown, Chrystal (Self; Texas Nurses Association)",For,HB 280,Brown,Chrystal,,Self; Texas Nurses Association,,
"Bryant, Kelley (Self; Texas Nurses Association)",For,HB 280,Bryant,Kelley,,Self; Texas Nurses Association,,
"Burley, Cathryn El (Self; Texas nurses association)",For,HB 280,Burley,Cathryn El,El,Self; Texas nurses association,,
"Calais, Obuchukwuneme (Self)",For,HB 280,Calais,Obuchukwuneme,,Self,,
"Campbell, Cassandra (Self; Texas Nurses Association)",For,HB 280,Campbell,Cassandra,,Self; Texas Nurses Association,,
"Carrasco, Rebecca (Self; UT Tyler)",For,HB 280,Carrasco,Rebecca,,Self; UT Tyler,,
"Carter, Ashley (Texas Nurses Association)",For,HB 280,Carter,Ashley,,Texas Nurses Association,,
"Castleberry, Connie (Self; TNA)",For,HB 280,Castleberry,Connie,,Self; TNA,,
"Clifton-Hernandez, Naomi (Self; Texas Nurses Association)",For,HB 280,Clifton-Hernandez,Naomi,,Self; Texas Nurses Association,,
"Colbert, Taylor (University of Texas at Tyler)",For,HB 280,Colbert,Taylor,,University of Texas at Tyler,,
"Cox, Jessica (Self; NAPNAP NANN AWHONN)",For,HB 280,Cox,Jessica,,Self; NAPNAP NANN AWHONN,,
"Crawford spelce, Kelsey (Self; Texas nursing association)",For,HB 280,Crawford spelce,Kelsey,,Self; Texas nursing association,,
"Dayberry, Tamatha (Self; TNA)",For,HB 280,Dayberry,Tamatha,,Self; TNA,,
"DeBower, Courtney (Texas EMS, Trauma & Acute Care Foundation (TETAF))",For,HB 280,DeBower,Courtney,"(Texas EMS, Trauma & Acute Care Foundation","Texas EMS, Trauma & Acute Care Foundation (TETAF)",,
"DeFrehn, Patricia (Self; Texas Nurses Association, Nurse Executives)",For,HB 280,DeFrehn,Patricia,,"Self; Texas Nurses Association, Nurse Executives",,
"Delk-fikes, Jenny (Self; Texas nurses association)",For,HB 280,Delk-fikes,Jenny,,Self; Texas nurses association,,
"Dorman-O'Donnell, Margie (Self; Texas Nurses Association)",For,HB 280,Dorman-O'Donnell,Margie,,Self; Texas Nurses Association,,
"Dotson, Taylor (TNA)",For,HB 280,Dotson,Taylor,,TNA,,
"Eades, Tammy (Self; Texas nursing association)",For,HB 280,Eades,Tammy,,Self; Texas nursing association,,
"Eckersley, Elizabeth (Tna)",For,HB 280,Eckersley,Elizabeth,,Tna,,
"Farmer-Guerra, Anthoney (Self; Spread Hope Like Fire)",For,HB 280,Farmer-Guerra,Anthoney,,Self; Spread Hope Like Fire,,
"Fay-Stindt, Zoe (Self)",For,HB 280,Fay-Stindt,Zoe,,Self,,
"Finch, Daniel (Texas Medical Assn)",For,HB 280,Finch,Daniel,,Texas Medical Assn,,
"Fontenot, Debra (Self; TNA)",For,HB 280,Fontenot,Debra,,Self; TNA,,
"Ford, Candice (Self; Tsna)",For,HB 280,Ford,Candice,,Self; Tsna,,
"Francis, Patricia (Texas Nurses Association)",For,HB 280,Francis,Patricia,,Texas Nurses Association,,
"Freier, Patricia (Self; Texas Nurses Association)",For,HB 280,Freier,Patricia,,Self; Texas Nurses Association,,
"Frey, Gabrielle (Self; Texas Nurses Association)",For,HB 280,Frey,Gabrielle,,Self; Texas Nurses Association,,
"Garry, Natalie (Texas Nurses Assoc)",For,HB 280,Garry,Natalie,,Texas Nurses Assoc,,
"Grant, Kimberley (Self; Texas nurses association)",For,HB 280,Grant,Kimberley,,Self; Texas nurses association,,
"Gray, Stephanie (Self)",For,HB 280,Gray,Stephanie,,Self,,
"Green, Linda (Self; Tna)",For,HB 280,Green,Linda,,Self; Tna,,
"Grubesic, Ruth (Self; Texas Nurses Association)",For,HB 280,Grubesic,Ruth,,Self; Texas Nurses Association,,
"Hardy, Jaime (Self)",For,HB 280,Hardy,Jaime,,Self,,
"Harris-Caldwell, Avis (Texas Nurses Association)",For,HB 280,Harris-Caldwell,Avis,,Texas Nurses Association,,
"Hawes, Janice (Tna)",For,HB 280,Hawes,Janice,,Tna,,
"Hayes, Maria (Self; TNA)",For,HB 280,Hayes,Maria,,Self; TNA,,
"Henager, Jennifer (Central Texas Regional Advisory Council)",For,HB 280,Henager,Jennifer,,Central Texas Regional Advisory Council,,
"Henderson, Toni (Self; TNA)",For,HB 280,Henderson,Toni,,Self; TNA,,
"Hernandez, Sofia (Self)",For,HB 280,Hernandez,Sofia,,Self,,
"Herterich, Lisa (TNA)",For,HB 280,Herterich,Lisa,,TNA,,
"Hester, Melinda (Self; Texas state university school of nursING)",For,HB 280,Hester,Melinda,,Self; Texas state university school of nursING,,
"Hill, Cynthia (Self; TNA)",For,HB 280,Hill,Cynthia,,Self; TNA,,
"Hilliard, James R (Ron) (Self)",For,HB 280,Hilliard,James R,(Ron),Ron) (Self,,
"Howard, Jazzlyn (Self)",For,HB 280,Howard,Jazzlyn,,Self,,
"Hughes, Geoff (Tna)",For,HB 280,Hughes,Geoff,,Tna,,
"Jeffries, Karen (Self; Texas nurses assoc)",For,HB 280,Jeffries,Karen,,Self; Texas nurses assoc,,
"Jordan, Claire (Nurses)",For,HB 280,Jordan,Claire,,Nurses,,
"Kidd, Laura (Self; Texas Nurses Assn)",For,HB 280,Kidd,Laura,,Self; Texas Nurses Assn,,
"Larsen, Shayla (Self; TNA TCC NURSING)",For,HB 280,Larsen,Shayla,,Self; TNA TCC NURSING,,
"Lindy, Cheryl (Self; Tna)",For,HB 280,Lindy,Cheryl,,Self; Tna,,
"Lowe, Anita (TNA)",For,HB 280,Lowe,Anita,,TNA,,
"Luna, Francis (Self; Texas School Nurses Organization)",For,HB 280,Luna,Francis,,Self; Texas School Nurses Organization,,
"Luna, Joe (Self; Texas School Nurses Organization)",For,HB 280,Luna,Joe,,Self; Texas School Nurses Organization,,
"MacLean, Kate (Self; TNA)",For,HB 280,MacLean,Kate,,Self; TNA,,
"Marshall, June (Texas Nurses Association)",For,HB 280,Marshall,June,,Texas Nurses Association,,
"Martin Morgan, Judy (TNA)",For,HB 280,Martin Morgan,Judy,,TNA,,
"Martinez, Maria (Self)",For,HB 280,Martinez,Maria,,Self,,
"May, Alberta (Self; TNA)",For,HB 280,May,Alberta,,Self; TNA,,
"McCarthy, Amy (Texas nurses association)",For,HB 280,McCarthy,Amy,,Texas nurses association,,
"Mccluskey, Sally (Self; Angelo staite university)",For,HB 280,Mccluskey,Sally,,Self; Angelo staite university,,
"McKeever, Susan (Self; TSNA)",For,HB 280,McKeever,Susan,,Self; TSNA,,
"Miller, Janice (Self; TNA)",For,HB 280,Miller,Janice,,Self; TNA,,
"Mills, Sarah (Texas Association for Home Care and Hospice)",For,HB 280,Mills,Sarah,,Texas Association for Home Care and Hospice,,
"Momii, Sybil (Tna)",For,HB 280,Momii,Sybil,,Tna,,
"Monjaraz, Rene (Self; TNA)",For,HB 280,Monjaraz,Rene,,Self; TNA,,
"Morrell, Patricia (Self; Texas Nurse Association)",For,HB 280,Morrell,Patricia,,Self; Texas Nurse Association,,
"Mulholland, Katherine (TNA)",For,HB 280,Mulholland,Katherine,,TNA,,
"Nietupski, Prudence (Self; TNA)",For,HB 280,Nietupski,Prudence,,Self; TNA,,
"Osaghae, Helen (Self)",For,HB 280,Osaghae,Helen,,Self,,
"Phelps, Patricia (Self)",For,HB 280,Phelps,Patricia,,Self,,
"Pickett, Amy (Self; TNA)",For,HB 280,Pickett,Amy,,Self; TNA,,
"Powers, Rebekah (Self; TNA)",For,HB 280,Powers,Rebekah,,Self; TNA,,
"Ragas, Chelsea (University of Texas at Tyler)",For,HB 280,Ragas,Chelsea,,University of Texas at Tyler,,
"Randolph, Carol (Self; Tna)",For,HB 280,Randolph,Carol,,Self; Tna,,
"Reeves, Christine (Heart of Texas Regional Advisory Council)",For,HB 280,Reeves,Christine,,Heart of Texas Regional Advisory Council,,
"Richardson, Crissie (Self)",For,HB 280,Richardson,Crissie,,Self,,
"Rivard, Mary (Self; Texas Nurses Association)",For,HB 280,Rivard,Mary,,Self; Texas Nurses Association,,
"Roberts, Danielle (Self; Tarrant County College Nursing (NSA))",For,HB 280,Roberts,Danielle,(Self; Tarrant County College Nursing,Self; Tarrant County College Nursing (NSA),,
"Royster-Hibbert, Lorraine (Self; Texas Nurses Association)",For,HB 280,Royster-Hibbert,Lorraine,,Self; Texas Nurses Association,,
"Sanders-thompson, Dorothy (TNA)",For,HB 280,Sanders-thompson,Dorothy,,TNA,,
"Savage, Aletha (Self; Tna)",For,HB 280,Savage,Aletha,,Self; Tna,,
"Saxton, Josette (Texans Care for Children)",For,HB 280,Saxton,Josette,,Texans Care for Children,,
"Sewell, Frances (Self)",For,HB 280,Sewell,Frances,,Self,,
Smith   (Self),For,HB 280,Smith,,,Self,,
"Smith, Darla (Texas Nurses Association)",For,HB 280,Smith,Darla,,Texas Nurses Association,,
"Smith, Rebecca (Self; Tna)",For,HB 280,Smith,Rebecca,,Self; Tna,,
"Steinbach, Jill (Self; TNA)",For,HB 280,Steinbach,Jill,,Self; TNA,,
"Stokes, Michelle (TNSA)",For,HB 280,Stokes,Michelle,,TNSA,,
"Stuffel, Jessica (Self)",For,HB 280,Stuffel,Jessica,,Self,,
"Swenson Britt, Evelyn (Self)",For,HB 280,Swenson Britt,Evelyn,,Self,,
"Switzer, Gyl (Mental health america of texas)",For,HB 280,Switzer,Gyl,,Mental health america of texas,,
"Taylor, Tonya (Self; Texas Nurses Association)",For,HB 280,Taylor,Tonya,,Self; Texas Nurses Association,,
"Temple, Thomas (Self)",For,HB 280,Temple,Thomas,,Self,,
"Teran, Norma (Self)",For,HB 280,Teran,Norma,,Self,,
"Thapa, Sumita (Self)",For,HB 280,Thapa,Sumita,,Self,,
"Timmons, Karen (Tna)",For,HB 280,Timmons,Karen,,Tna,,
"Torres, Gabriela (Self; TNA)",For,HB 280,Torres,Gabriela,,Self; TNA,,
"Vanderzyl, Whitney (Self; TNA)",For,HB 280,Vanderzyl,Whitney,,Self; TNA,,
"Walker, Nancy (University Health System/Bexar County)",For,HB 280,Walker,Nancy,,University Health System/Bexar County,,
"Watson, Jeff (Self; Texas Nurses Association)",For,HB 280,Watson,Jeff,,Self; Texas Nurses Association,,
Weaver   (Self),For,HB 280,Weaver,,,Self,,
"Wesely, Ramona (Self; Tna)",For,HB 280,Wesely,Ramona,,Self; Tna,,
"Wilkinson, Crystal (Self)",For,HB 280,Wilkinson,Crystal,,Self,,
"Wilson, Wendy (Consortium of Texas Certified Nurse-Midwives)",For,HB 280,Wilson,Wendy,,Consortium of Texas Certified Nurse-Midwives,,
"Wong, Samuel (Self)",For,HB 280,Wong,Samuel,,Self,,
"Woomer, Eric (Federation of Texas Psychiatry)",For,HB 280,Woomer,Eric,,Federation of Texas Psychiatry,,
"Wright, Aimee (Self)",For,HB 280,Wright,Aimee,,Self,,
"Zelanko, Eugenia ""Jeanie"" (Self; Texas Nurses Association)",For,HB 280,Zelanko,Eugenia,"""Jeanie""",Self; Texas Nurses Association,,
"Aker, Chris (Department of State Health Services)",On,HB 280,Aker,Chris,,Department of State Health Services,,
